ID,Materia,Curso,Tipo,Link
37852,inteligência artifical,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37852,&d=false"
37851,desenvolvimento aberto,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37851,&d=false"
37837,smart manufacturing,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37837,&d=false"
37734,soc e linux embarcado,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37734,&d=false"
37682,otimização,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37682,&d=false"
37562,dinâmica veicular,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37562,&d=false"
37558,eletrônica embarcada,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37558,&d=false"
37500,modelos macroeconômicos: teoria e aplicações,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37500,&d=false"
37482,jogos digitais,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37482,&d=false"
37481,"o bicentenário da independência: instituições, história e capitalismo",engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37481,&d=false"
37462,work teams for social innovation,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37462,&d=false"
37321,supercomputação,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37321,&d=false"
37300,química tecnologica e ambiental.,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37300,&d=false"
37239,inclusão da diversidade e das deficiências,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37239,&d=false"
37200,gestão ambiental e responsabilidade social corporativa,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37200,&d=false"
37075,"estratégias de comunicação, mídia e branding",engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37075,&d=false"
